song,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,type,id,uri,track_href,analysis_url,external_urls
Txus (En Directo) - Remastered,La Polla Records,0.312,0.942,5,-3.569,1,0.069,0.00162,0.0,0.63,0.638,162.023,85480,3,audio_features,4Ff4LlrBtxASEcvwC6ClsM,spotify:track:4Ff4LlrBtxASEcvwC6ClsM,https://api.spotify.com/v1/tracks/4Ff4LlrBtxASEcvwC6ClsM,https://api.spotify.com/v1/audio-analysis/4Ff4LlrBtxASEcvwC6ClsM,{'spotify': 'https://open.spotify.com/track/4Ff4LlrBtxASEcvwC6ClsM'}
Ellos Dicen Mierda,La Polla Records,0.283,0.723,11,-10.902,1,0.0365,0.369,0.627,0.13,0.454,143.721,278987,4,audio_features,1pQvhzRnObih9msA91xDq7,spotify:track:1pQvhzRnObih9msA91xDq7,https://api.spotify.com/v1/tracks/1pQvhzRnObih9msA91xDq7,https://api.spotify.com/v1/audio-analysis/1pQvhzRnObih9msA91xDq7,{'spotify': 'https://open.spotify.com/track/1pQvhzRnObih9msA91xDq7'}
"Que Turututu, Ay Que Tururu",La Polla Records,0.51,0.828,11,-7.835,0,0.0433,0.00705,0.00269,0.2,0.575,116.075,161613,4,audio_features,1eLWiukzQrnRn0Z6KhhHyz,spotify:track:1eLWiukzQrnRn0Z6KhhHyz,https://api.spotify.com/v1/tracks/1eLWiukzQrnRn0Z6KhhHyz,https://api.spotify.com/v1/audio-analysis/1eLWiukzQrnRn0Z6KhhHyz,{'spotify': 'https://open.spotify.com/track/1eLWiukzQrnRn0Z6KhhHyz'}
No Somos Nada (En Directo) - Remastered,La Polla Records,0.417,0.972,0,-3.534,1,0.0794,0.000431,0.0,0.709,0.478,82.821,97867,4,audio_features,5MFNLUj5mGEfnSEt537HNW,spotify:track:5MFNLUj5mGEfnSEt537HNW,https://api.spotify.com/v1/tracks/5MFNLUj5mGEfnSEt537HNW,https://api.spotify.com/v1/audio-analysis/5MFNLUj5mGEfnSEt537HNW,{'spotify': 'https://open.spotify.com/track/5MFNLUj5mGEfnSEt537HNW'}
Nadie Llorará Por Ti,La Polla Records,0.522,0.768,7,-7.955,1,0.0289,0.0249,0.0929,0.148,0.848,107.879,142000,4,audio_features,6PFGkjdnpznilcmfEZGpCM,spotify:track:6PFGkjdnpznilcmfEZGpCM,https://api.spotify.com/v1/tracks/6PFGkjdnpznilcmfEZGpCM,https://api.spotify.com/v1/audio-analysis/6PFGkjdnpznilcmfEZGpCM,{'spotify': 'https://open.spotify.com/track/6PFGkjdnpznilcmfEZGpCM'}
Historia Triste,Eskorbuto,0.433,0.896,2,-4.064,1,0.0601,0.092,0.000315,0.0918,0.647,161.773,184040,4,audio_features,3m1Wi7occbKhFBspyH8hGO,spotify:track:3m1Wi7occbKhFBspyH8hGO,https://api.spotify.com/v1/tracks/3m1Wi7occbKhFBspyH8hGO,https://api.spotify.com/v1/audio-analysis/3m1Wi7occbKhFBspyH8hGO,{'spotify': 'https://open.spotify.com/track/3m1Wi7occbKhFBspyH8hGO'}
Cuidado,Eskorbuto,0.508,0.93,11,-5.89,1,0.0714,0.048,0.0,0.095,0.812,146.583,242053,4,audio_features,3pjaH2kNvu3NwvuB3fIILt,spotify:track:3pjaH2kNvu3NwvuB3fIILt,https://api.spotify.com/v1/tracks/3pjaH2kNvu3NwvuB3fIILt,https://api.spotify.com/v1/audio-analysis/3pjaH2kNvu3NwvuB3fIILt,{'spotify': 'https://open.spotify.com/track/3pjaH2kNvu3NwvuB3fIILt'}
Cerebros Destruidos,Eskorbuto,0.595,0.98,0,-4.543,1,0.0619,0.0244,0.0,0.0695,0.847,137.39,155453,4,audio_features,0BiWw0vS0RXT5vdOovZCiH,spotify:track:0BiWw0vS0RXT5vdOovZCiH,https://api.spotify.com/v1/tracks/0BiWw0vS0RXT5vdOovZCiH,https://api.spotify.com/v1/audio-analysis/0BiWw0vS0RXT5vdOovZCiH,{'spotify': 'https://open.spotify.com/track/0BiWw0vS0RXT5vdOovZCiH'}
"Mucha Policía, Poca Diversión",Eskorbuto,0.475,0.867,8,-6.126,1,0.0631,0.0558,0.426,0.325,0.618,110.358,91600,4,audio_features,7yu3tzlkrr17M2EL0ELF71,spotify:track:7yu3tzlkrr17M2EL0ELF71,https://api.spotify.com/v1/tracks/7yu3tzlkrr17M2EL0ELF71,https://api.spotify.com/v1/audio-analysis/7yu3tzlkrr17M2EL0ELF71,{'spotify': 'https://open.spotify.com/track/7yu3tzlkrr17M2EL0ELF71'}
Adios Reina Mia,Eskorbuto,0.223,0.864,4,-8.751,1,0.0433,0.00106,4.87e-05,0.397,0.724,174.343,267038,4,audio_features,52hHIF5rYiUi0AtPyvMrY2,spotify:track:52hHIF5rYiUi0AtPyvMrY2,https://api.spotify.com/v1/tracks/52hHIF5rYiUi0AtPyvMrY2,https://api.spotify.com/v1/audio-analysis/52hHIF5rYiUi0AtPyvMrY2,{'spotify': 'https://open.spotify.com/track/52hHIF5rYiUi0AtPyvMrY2'}
Un Dia Mas,Reincidentes,0.559,0.961,0,-6.204,1,0.0653,0.00362,0.0,0.143,0.477,103.567,162720,4,audio_features,3scFXuqiS4dTnRkFz6UmmP,spotify:track:3scFXuqiS4dTnRkFz6UmmP,https://api.spotify.com/v1/tracks/3scFXuqiS4dTnRkFz6UmmP,https://api.spotify.com/v1/audio-analysis/3scFXuqiS4dTnRkFz6UmmP,{'spotify': 'https://open.spotify.com/track/3scFXuqiS4dTnRkFz6UmmP'}
Dos Colegas,Reincidentes,0.508,0.944,0,-5.563,1,0.178,0.00511,0.192,0.269,0.162,99.783,235544,4,audio_features,6ntDXB4oa0joWYyrc4aG6L,spotify:track:6ntDXB4oa0joWYyrc4aG6L,https://api.spotify.com/v1/tracks/6ntDXB4oa0joWYyrc4aG6L,https://api.spotify.com/v1/audio-analysis/6ntDXB4oa0joWYyrc4aG6L,{'spotify': 'https://open.spotify.com/track/6ntDXB4oa0joWYyrc4aG6L'}
El Cuento del Alfajor,Reincidentes,0.484,0.931,7,-6.198,1,0.0838,3.83e-05,0.000931,0.183,0.67,102.328,128196,4,audio_features,4LUzpMHzeD2CcbrwEfSQ8m,spotify:track:4LUzpMHzeD2CcbrwEfSQ8m,https://api.spotify.com/v1/tracks/4LUzpMHzeD2CcbrwEfSQ8m,https://api.spotify.com/v1/audio-analysis/4LUzpMHzeD2CcbrwEfSQ8m,{'spotify': 'https://open.spotify.com/track/4LUzpMHzeD2CcbrwEfSQ8m'}
Jartos d'Aguantar,Reincidentes,0.322,0.833,9,-9.115,1,0.0545,0.00158,5.94e-05,0.216,0.564,145.03,263654,4,audio_features,6owkEWcE2ufyCnoT6Sk3RY,spotify:track:6owkEWcE2ufyCnoT6Sk3RY,https://api.spotify.com/v1/tracks/6owkEWcE2ufyCnoT6Sk3RY,https://api.spotify.com/v1/audio-analysis/6owkEWcE2ufyCnoT6Sk3RY,{'spotify': 'https://open.spotify.com/track/6owkEWcE2ufyCnoT6Sk3RY'}
Vicio,Reincidentes,0.576,0.895,2,-6.761,0,0.0467,0.00124,0.000189,0.342,0.676,104.182,166733,4,audio_features,7nwqaGHYZM0g6R4ecp48TU,spotify:track:7nwqaGHYZM0g6R4ecp48TU,https://api.spotify.com/v1/tracks/7nwqaGHYZM0g6R4ecp48TU,https://api.spotify.com/v1/audio-analysis/7nwqaGHYZM0g6R4ecp48TU,{'spotify': 'https://open.spotify.com/track/7nwqaGHYZM0g6R4ecp48TU'}
Llorarás,Boikot,0.42,0.831,4,-5.362,1,0.159,0.00569,5.18e-06,0.0785,0.382,163.164,95480,4,audio_features,2Hlq9w7rf0oGpjeSTgtIj1,spotify:track:2Hlq9w7rf0oGpjeSTgtIj1,https://api.spotify.com/v1/tracks/2Hlq9w7rf0oGpjeSTgtIj1,https://api.spotify.com/v1/audio-analysis/2Hlq9w7rf0oGpjeSTgtIj1,{'spotify': 'https://open.spotify.com/track/2Hlq9w7rf0oGpjeSTgtIj1'}
Sin Tiempo para Respirar,Boikot,0.587,0.984,7,-3.736,1,0.0497,0.00079,0.00245,0.382,0.43,107.453,217107,4,audio_features,25ESSO7rNVeyVQemQdqUQI,spotify:track:25ESSO7rNVeyVQemQdqUQI,https://api.spotify.com/v1/tracks/25ESSO7rNVeyVQemQdqUQI,https://api.spotify.com/v1/audio-analysis/25ESSO7rNVeyVQemQdqUQI,{'spotify': 'https://open.spotify.com/track/25ESSO7rNVeyVQemQdqUQI'}
Inés,Boikot,0.572,0.899,4,-4.88,0,0.0633,0.00265,0.000384,0.0967,0.857,155.052,145213,4,audio_features,1B2KqBbo71jf5n3lftM6G2,spotify:track:1B2KqBbo71jf5n3lftM6G2,https://api.spotify.com/v1/tracks/1B2KqBbo71jf5n3lftM6G2,https://api.spotify.com/v1/audio-analysis/1B2KqBbo71jf5n3lftM6G2,{'spotify': 'https://open.spotify.com/track/1B2KqBbo71jf5n3lftM6G2'}
Isabel,Boikot,0.5,0.928,1,-5.935,0,0.142,0.012,0.0,0.317,0.823,169.018,222720,4,audio_features,3Bx7yRuWkQOjcd7OlO40yu,spotify:track:3Bx7yRuWkQOjcd7OlO40yu,https://api.spotify.com/v1/tracks/3Bx7yRuWkQOjcd7OlO40yu,https://api.spotify.com/v1/audio-analysis/3Bx7yRuWkQOjcd7OlO40yu,{'spotify': 'https://open.spotify.com/track/3Bx7yRuWkQOjcd7OlO40yu'}
Con Mucha Clase,Boikot,0.648,0.962,0,-3.812,1,0.116,0.0657,0.0,0.317,0.633,118.972,194747,4,audio_features,0ywJICw0cu2SQjT5MrjAUu,spotify:track:0ywJICw0cu2SQjT5MrjAUu,https://api.spotify.com/v1/tracks/0ywJICw0cu2SQjT5MrjAUu,https://api.spotify.com/v1/audio-analysis/0ywJICw0cu2SQjT5MrjAUu,{'spotify': 'https://open.spotify.com/track/0ywJICw0cu2SQjT5MrjAUu'}
¿A Donde Vas?,El Último Ke Zierre,0.428,0.934,11,-4.174,0,0.101,0.00224,0.0,0.29,0.468,184.963,199200,4,audio_features,7CoHANaS84alYrwYzhaFUc,spotify:track:7CoHANaS84alYrwYzhaFUc,https://api.spotify.com/v1/tracks/7CoHANaS84alYrwYzhaFUc,https://api.spotify.com/v1/audio-analysis/7CoHANaS84alYrwYzhaFUc,{'spotify': 'https://open.spotify.com/track/7CoHANaS84alYrwYzhaFUc'}
Tus Bragas,El Último Ke Zierre,0.293,0.862,9,-4.206,1,0.0965,0.166,0.0,0.186,0.621,190.322,198136,4,audio_features,1Hh6pSlEbOSNZJYbHJBIXi,spotify:track:1Hh6pSlEbOSNZJYbHJBIXi,https://api.spotify.com/v1/tracks/1Hh6pSlEbOSNZJYbHJBIXi,https://api.spotify.com/v1/audio-analysis/1Hh6pSlEbOSNZJYbHJBIXi,{'spotify': 'https://open.spotify.com/track/1Hh6pSlEbOSNZJYbHJBIXi'}
No Tengo Miedo,El Último Ke Zierre,0.529,0.865,4,-8.46,1,0.0459,0.00211,0.0,0.123,0.709,80.245,193173,4,audio_features,0xDx8O323usBUSqNZeCn1m,spotify:track:0xDx8O323usBUSqNZeCn1m,https://api.spotify.com/v1/tracks/0xDx8O323usBUSqNZeCn1m,https://api.spotify.com/v1/audio-analysis/0xDx8O323usBUSqNZeCn1m,{'spotify': 'https://open.spotify.com/track/0xDx8O323usBUSqNZeCn1m'}
Escupiré Jodidos,El Último Ke Zierre,0.594,0.946,0,-7.514,1,0.113,0.00456,0.0,0.558,0.522,112.989,165573,4,audio_features,1FB1Kk4ZmkNu11toR5BWwm,spotify:track:1FB1Kk4ZmkNu11toR5BWwm,https://api.spotify.com/v1/tracks/1FB1Kk4ZmkNu11toR5BWwm,https://api.spotify.com/v1/audio-analysis/1FB1Kk4ZmkNu11toR5BWwm,{'spotify': 'https://open.spotify.com/track/1FB1Kk4ZmkNu11toR5BWwm'}
Eres Debil,El Último Ke Zierre,0.372,0.835,2,-8.228,1,0.0833,0.00973,7.34e-05,0.171,0.746,111.589,169693,4,audio_features,7xRs84z4H3BHrbjl3kD7sL,spotify:track:7xRs84z4H3BHrbjl3kD7sL,https://api.spotify.com/v1/tracks/7xRs84z4H3BHrbjl3kD7sL,https://api.spotify.com/v1/audio-analysis/7xRs84z4H3BHrbjl3kD7sL,{'spotify': 'https://open.spotify.com/track/7xRs84z4H3BHrbjl3kD7sL'}
Mi Primer Amor,Piperrak,0.382,0.884,6,-6.165,1,0.0485,0.0036,3.85e-05,0.275,0.825,124.191,170686,4,audio_features,2oRmhBSPhWNScSkwR7x8xi,spotify:track:2oRmhBSPhWNScSkwR7x8xi,https://api.spotify.com/v1/tracks/2oRmhBSPhWNScSkwR7x8xi,https://api.spotify.com/v1/audio-analysis/2oRmhBSPhWNScSkwR7x8xi,{'spotify': 'https://open.spotify.com/track/2oRmhBSPhWNScSkwR7x8xi'}
Kualkier Día,Piperrak,0.274,0.95,7,-5.787,1,0.146,0.00222,0.0,0.0923,0.645,187.469,249719,4,audio_features,1I9u9TGitfcJzOXV1fCM9B,spotify:track:1I9u9TGitfcJzOXV1fCM9B,https://api.spotify.com/v1/tracks/1I9u9TGitfcJzOXV1fCM9B,https://api.spotify.com/v1/audio-analysis/1I9u9TGitfcJzOXV1fCM9B,{'spotify': 'https://open.spotify.com/track/1I9u9TGitfcJzOXV1fCM9B'}
Ke Le Voy a Hacer,Piperrak,0.419,0.923,7,-6.28,1,0.0657,0.00223,1.29e-05,0.348,0.908,106.358,163428,4,audio_features,151amUHTNy3uXL3dTPYauW,spotify:track:151amUHTNy3uXL3dTPYauW,https://api.spotify.com/v1/tracks/151amUHTNy3uXL3dTPYauW,https://api.spotify.com/v1/audio-analysis/151amUHTNy3uXL3dTPYauW,{'spotify': 'https://open.spotify.com/track/151amUHTNy3uXL3dTPYauW'}
Odio,Piperrak,0.387,0.945,7,-6.902,1,0.0571,0.00443,0.00487,0.122,0.795,120.891,204738,4,audio_features,7fu2KqlLlQQ29hblnVGDP9,spotify:track:7fu2KqlLlQQ29hblnVGDP9,https://api.spotify.com/v1/tracks/7fu2KqlLlQQ29hblnVGDP9,https://api.spotify.com/v1/audio-analysis/7fu2KqlLlQQ29hblnVGDP9,{'spotify': 'https://open.spotify.com/track/7fu2KqlLlQQ29hblnVGDP9'}
Otra Noche,Kaotiko,0.552,0.932,8,-5.418,1,0.0488,0.0234,0.0,0.104,0.538,112.031,190747,4,audio_features,2JXn1MQeFqowxtRxgmefuk,spotify:track:2JXn1MQeFqowxtRxgmefuk,https://api.spotify.com/v1/tracks/2JXn1MQeFqowxtRxgmefuk,https://api.spotify.com/v1/audio-analysis/2JXn1MQeFqowxtRxgmefuk,{'spotify': 'https://open.spotify.com/track/2JXn1MQeFqowxtRxgmefuk'}
Oh Caroline!!,Kaotiko,0.569,0.902,0,-4.13,1,0.0643,0.0032,3.21e-06,0.106,0.501,129.993,166147,4,audio_features,5rjftiXRqnYb2EIAcC4kFv,spotify:track:5rjftiXRqnYb2EIAcC4kFv,https://api.spotify.com/v1/tracks/5rjftiXRqnYb2EIAcC4kFv,https://api.spotify.com/v1/audio-analysis/5rjftiXRqnYb2EIAcC4kFv,{'spotify': 'https://open.spotify.com/track/5rjftiXRqnYb2EIAcC4kFv'}
Paranoia,Kaotiko,0.456,0.843,0,-4.506,1,0.0319,0.00017,0.000415,0.297,0.501,151.936,210233,4,audio_features,2Ebi874ZOTVXwurXRQpviQ,spotify:track:2Ebi874ZOTVXwurXRQpviQ,https://api.spotify.com/v1/tracks/2Ebi874ZOTVXwurXRQpviQ,https://api.spotify.com/v1/audio-analysis/2Ebi874ZOTVXwurXRQpviQ,{'spotify': 'https://open.spotify.com/track/2Ebi874ZOTVXwurXRQpviQ'}
Visto Lo Visto,Kaotiko,0.48,0.917,7,-3.678,1,0.0574,0.00225,0.00081,0.789,0.347,105.921,230713,3,audio_features,5v6kfQjB5MkmX0Lz3BzRwq,spotify:track:5v6kfQjB5MkmX0Lz3BzRwq,https://api.spotify.com/v1/tracks/5v6kfQjB5MkmX0Lz3BzRwq,https://api.spotify.com/v1/audio-analysis/5v6kfQjB5MkmX0Lz3BzRwq,{'spotify': 'https://open.spotify.com/track/5v6kfQjB5MkmX0Lz3BzRwq'}
Ansiedad - original,Kaos Etíliko,0.699,0.932,7,-5.743,1,0.0396,0.0175,0.0,0.087,0.584,112.07,128013,4,audio_features,2NG0Gf5X9yhpt3kblevJmp,spotify:track:2NG0Gf5X9yhpt3kblevJmp,https://api.spotify.com/v1/tracks/2NG0Gf5X9yhpt3kblevJmp,https://api.spotify.com/v1/audio-analysis/2NG0Gf5X9yhpt3kblevJmp,{'spotify': 'https://open.spotify.com/track/2NG0Gf5X9yhpt3kblevJmp'}
A Tu Lado,Agua Bendita,0.563,0.731,2,-5.078,1,0.129,0.294,0.00295,0.0887,0.776,66.578,203729,4,audio_features,0nCqJIrHDEpirLYJvERIY8,spotify:track:0nCqJIrHDEpirLYJvERIY8,https://api.spotify.com/v1/tracks/0nCqJIrHDEpirLYJvERIY8,https://api.spotify.com/v1/audio-analysis/0nCqJIrHDEpirLYJvERIY8,{'spotify': 'https://open.spotify.com/track/0nCqJIrHDEpirLYJvERIY8'}
Billy Joe,Agua Bendita,0.387,0.878,0,-5.865,1,0.328,0.0298,2.1e-06,0.465,0.786,176.594,180715,4,audio_features,0gSwdXkiJt6N76LPqG2nQB,spotify:track:0gSwdXkiJt6N76LPqG2nQB,https://api.spotify.com/v1/tracks/0gSwdXkiJt6N76LPqG2nQB,https://api.spotify.com/v1/audio-analysis/0gSwdXkiJt6N76LPqG2nQB,{'spotify': 'https://open.spotify.com/track/0gSwdXkiJt6N76LPqG2nQB'}
Volar,Agua Bendita,0.289,0.842,1,-6.902,0,0.052,0.00547,0.466,0.109,0.791,197.71,138815,4,audio_features,6IMZPYjW7FKdpMJcybAQMW,spotify:track:6IMZPYjW7FKdpMJcybAQMW,https://api.spotify.com/v1/tracks/6IMZPYjW7FKdpMJcybAQMW,https://api.spotify.com/v1/audio-analysis/6IMZPYjW7FKdpMJcybAQMW,{'spotify': 'https://open.spotify.com/track/6IMZPYjW7FKdpMJcybAQMW'}
Borrachos,Agua Bendita,0.572,0.948,7,-3.287,1,0.0511,0.0605,0.252,0.0518,0.881,102.252,274312,4,audio_features,1uL9BfI7kFdTkrevE2V2iM,spotify:track:1uL9BfI7kFdTkrevE2V2iM,https://api.spotify.com/v1/tracks/1uL9BfI7kFdTkrevE2V2iM,https://api.spotify.com/v1/audio-analysis/1uL9BfI7kFdTkrevE2V2iM,{'spotify': 'https://open.spotify.com/track/1uL9BfI7kFdTkrevE2V2iM'}
Mi Vida,Segismundo Toxicómano,0.606,0.944,10,-2.865,0,0.0653,0.018,0.0,0.335,0.721,120.536,169080,4,audio_features,7jsyCdKhfiId2oVNgDOTq1,spotify:track:7jsyCdKhfiId2oVNgDOTq1,https://api.spotify.com/v1/tracks/7jsyCdKhfiId2oVNgDOTq1,https://api.spotify.com/v1/audio-analysis/7jsyCdKhfiId2oVNgDOTq1,{'spotify': 'https://open.spotify.com/track/7jsyCdKhfiId2oVNgDOTq1'}
Odio,Segismundo Toxicómano,0.357,0.969,6,-3.265,1,0.183,0.000511,0.0,0.0941,0.401,130.976,150280,4,audio_features,7eErfLLXlrXRQ3vJP8Tnkl,spotify:track:7eErfLLXlrXRQ3vJP8Tnkl,https://api.spotify.com/v1/tracks/7eErfLLXlrXRQ3vJP8Tnkl,https://api.spotify.com/v1/audio-analysis/7eErfLLXlrXRQ3vJP8Tnkl,{'spotify': 'https://open.spotify.com/track/7eErfLLXlrXRQ3vJP8Tnkl'}
Las Drogas,Segismundo Toxicómano,0.559,0.919,7,-4.569,1,0.0552,0.000106,5.85e-05,0.215,0.751,121.979,142373,4,audio_features,12UZTr5xsKm79TzQkmYRUf,spotify:track:12UZTr5xsKm79TzQkmYRUf,https://api.spotify.com/v1/tracks/12UZTr5xsKm79TzQkmYRUf,https://api.spotify.com/v1/audio-analysis/12UZTr5xsKm79TzQkmYRUf,{'spotify': 'https://open.spotify.com/track/12UZTr5xsKm79TzQkmYRUf'}
Privar,Segismundo Toxicómano,0.438,0.952,7,-4.605,1,0.0777,0.000469,1.72e-05,0.125,0.745,177.498,154933,4,audio_features,3mgTThtIJX9Sx67rPzqmpn,spotify:track:3mgTThtIJX9Sx67rPzqmpn,https://api.spotify.com/v1/tracks/3mgTThtIJX9Sx67rPzqmpn,https://api.spotify.com/v1/audio-analysis/3mgTThtIJX9Sx67rPzqmpn,{'spotify': 'https://open.spotify.com/track/3mgTThtIJX9Sx67rPzqmpn'}
Oso panda,Lendakaris Muertos,0.577,0.929,2,-3.359,1,0.0512,0.000203,8.61e-05,0.196,0.856,125.225,80680,4,audio_features,5oZ66zxVVSCdrYxjCAyBrQ,spotify:track:5oZ66zxVVSCdrYxjCAyBrQ,https://api.spotify.com/v1/tracks/5oZ66zxVVSCdrYxjCAyBrQ,https://api.spotify.com/v1/audio-analysis/5oZ66zxVVSCdrYxjCAyBrQ,{'spotify': 'https://open.spotify.com/track/5oZ66zxVVSCdrYxjCAyBrQ'}
Centro comercial,Lendakaris Muertos,0.5,0.981,9,-1.788,0,0.111,0.00613,0.0,0.332,0.532,160.022,117400,4,audio_features,2XUmwt9j359kzGda9akoUx,spotify:track:2XUmwt9j359kzGda9akoUx,https://api.spotify.com/v1/tracks/2XUmwt9j359kzGda9akoUx,https://api.spotify.com/v1/audio-analysis/2XUmwt9j359kzGda9akoUx,{'spotify': 'https://open.spotify.com/track/2XUmwt9j359kzGda9akoUx'}
Bobo a Bordo,Lendakaris Muertos,0.337,0.976,5,-4.342,1,0.0901,0.000239,0.00166,0.376,0.766,184.951,123947,4,audio_features,16FRS2JNQA1w5t6vL3PXxB,spotify:track:16FRS2JNQA1w5t6vL3PXxB,https://api.spotify.com/v1/tracks/16FRS2JNQA1w5t6vL3PXxB,https://api.spotify.com/v1/audio-analysis/16FRS2JNQA1w5t6vL3PXxB,{'spotify': 'https://open.spotify.com/track/16FRS2JNQA1w5t6vL3PXxB'}
Gora España,Lendakaris Muertos,0.432,0.986,9,-1.842,0,0.17,0.0227,0.0,0.251,0.236,151.788,126547,4,audio_features,5ED0nQYEQNtvBzVX5XSTnG,spotify:track:5ED0nQYEQNtvBzVX5XSTnG,https://api.spotify.com/v1/tracks/5ED0nQYEQNtvBzVX5XSTnG,https://api.spotify.com/v1/audio-analysis/5ED0nQYEQNtvBzVX5XSTnG,{'spotify': 'https://open.spotify.com/track/5ED0nQYEQNtvBzVX5XSTnG'}
Veteranos de la kale borroka,Lendakaris Muertos,0.533,0.95,9,-2.565,0,0.135,0.00417,0.0,0.125,0.416,152.073,120800,4,audio_features,4yhIzKWOlAbO1z80i7cwfJ,spotify:track:4yhIzKWOlAbO1z80i7cwfJ,https://api.spotify.com/v1/tracks/4yhIzKWOlAbO1z80i7cwfJ,https://api.spotify.com/v1/audio-analysis/4yhIzKWOlAbO1z80i7cwfJ,{'spotify': 'https://open.spotify.com/track/4yhIzKWOlAbO1z80i7cwfJ'}
"Eta, deja alguna discoteca",Lendakaris Muertos,0.419,0.893,7,-3.473,1,0.0767,0.00445,4.43e-05,0.496,0.545,185.132,78427,3,audio_features,605f6PfI02sqcgD2q5hK8L,spotify:track:605f6PfI02sqcgD2q5hK8L,https://api.spotify.com/v1/tracks/605f6PfI02sqcgD2q5hK8L,https://api.spotify.com/v1/audio-analysis/605f6PfI02sqcgD2q5hK8L,{'spotify': 'https://open.spotify.com/track/605f6PfI02sqcgD2q5hK8L'}
