song,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,type,id,uri,track_href,analysis_url,external_urls
Ratas de Ciudad,Vómito,0.3,0.71,2,-13.856,1,0.0593,5.12e-05,0.000268,0.0503,0.271,168.29,156429,4,audio_features,28YGYqJEWc6AdHhzUxvbBZ,spotify:track:28YGYqJEWc6AdHhzUxvbBZ,https://api.spotify.com/v1/tracks/28YGYqJEWc6AdHhzUxvbBZ,https://api.spotify.com/v1/audio-analysis/28YGYqJEWc6AdHhzUxvbBZ,{'spotify': 'https://open.spotify.com/track/28YGYqJEWc6AdHhzUxvbBZ'}
Como Está el Patio,Cizaña,0.382,0.618,2,-8.682,1,0.0655,0.0672,1.81e-05,0.0719,0.892,125.003,162978,4,audio_features,3FLG4xIIRedDzjHmFytQOy,spotify:track:3FLG4xIIRedDzjHmFytQOy,https://api.spotify.com/v1/tracks/3FLG4xIIRedDzjHmFytQOy,https://api.spotify.com/v1/audio-analysis/3FLG4xIIRedDzjHmFytQOy,{'spotify': 'https://open.spotify.com/track/3FLG4xIIRedDzjHmFytQOy'}
Vidas Vacías,Cizaña,0.265,0.99,7,-4.212,1,0.216,0.039,0.0,0.0812,0.356,164.147,149760,4,audio_features,6iEBB2p6jCxtSGMMVfGUUs,spotify:track:6iEBB2p6jCxtSGMMVfGUUs,https://api.spotify.com/v1/tracks/6iEBB2p6jCxtSGMMVfGUUs,https://api.spotify.com/v1/audio-analysis/6iEBB2p6jCxtSGMMVfGUUs,{'spotify': 'https://open.spotify.com/track/6iEBB2p6jCxtSGMMVfGUUs'}
Hablo yo,Konsumo Respeto,0.372,0.905,1,-4.594,1,0.0438,0.00148,6.25e-05,0.22,0.561,132.616,248973,4,audio_features,4HWE15C5Ah2AEZHG8olHpm,spotify:track:4HWE15C5Ah2AEZHG8olHpm,https://api.spotify.com/v1/tracks/4HWE15C5Ah2AEZHG8olHpm,https://api.spotify.com/v1/audio-analysis/4HWE15C5Ah2AEZHG8olHpm,{'spotify': 'https://open.spotify.com/track/4HWE15C5Ah2AEZHG8olHpm'}
Una noche mas,Konsumo Respeto,0.396,0.919,0,-4.37,0,0.044,0.000306,0.00169,0.109,0.636,124.853,218507,4,audio_features,1w0NZVUXId2WwiQ0JmMSGe,spotify:track:1w0NZVUXId2WwiQ0JmMSGe,https://api.spotify.com/v1/tracks/1w0NZVUXId2WwiQ0JmMSGe,https://api.spotify.com/v1/audio-analysis/1w0NZVUXId2WwiQ0JmMSGe,{'spotify': 'https://open.spotify.com/track/1w0NZVUXId2WwiQ0JmMSGe'}
Loko Kuerdo,Txapelpunk,0.674,0.975,9,-2.973,1,0.0461,0.0198,0.0,0.0991,0.918,130.01,134920,4,audio_features,5NWWzmogzsKzCqtCSKO0cL,spotify:track:5NWWzmogzsKzCqtCSKO0cL,https://api.spotify.com/v1/tracks/5NWWzmogzsKzCqtCSKO0cL,https://api.spotify.com/v1/audio-analysis/5NWWzmogzsKzCqtCSKO0cL,{'spotify': 'https://open.spotify.com/track/5NWWzmogzsKzCqtCSKO0cL'}
Besos De Kubata,Txapelpunk,0.551,0.98,7,-3.238,1,0.038,0.00231,1.65e-05,0.229,0.744,120.019,163387,4,audio_features,1Ok610j6nBPDxEuuecA5HP,spotify:track:1Ok610j6nBPDxEuuecA5HP,https://api.spotify.com/v1/tracks/1Ok610j6nBPDxEuuecA5HP,https://api.spotify.com/v1/audio-analysis/1Ok610j6nBPDxEuuecA5HP,{'spotify': 'https://open.spotify.com/track/5NWWzmogzsKzCqtCSKO0cL'}
Maldito Homenaje - Remasterizado,Petra de fenetra,0.547,0.993,2,-6.01,1,0.0968,0.00762,0.0,0.262,0.115,108.35,125158,4,audio_features,5pYdtA2gNk8CvrEE8aG5zd,spotify:track:5pYdtA2gNk8CvrEE8aG5zd,https://api.spotify.com/v1/tracks/5pYdtA2gNk8CvrEE8aG5zd,https://api.spotify.com/v1/audio-analysis/5pYdtA2gNk8CvrEE8aG5zd,{'spotify': 'https://open.spotify.com/track/5NWWzmogzsKzCqtCSKO0cL'}
Mucho Pichu,Petra de fenetra,0.493,0.981,2,-3.436,1,0.0786,0.00109,0.0,0.328,0.476,102.754,190891,4,audio_features,4SbojkkTH6vZPnP7eKnkKL,spotify:track:4SbojkkTH6vZPnP7eKnkKL,https://api.spotify.com/v1/tracks/4SbojkkTH6vZPnP7eKnkKL,https://api.spotify.com/v1/audio-analysis/4SbojkkTH6vZPnP7eKnkKL,{'spotify': 'https://open.spotify.com/track/5NWWzmogzsKzCqtCSKO0cL'}
Dispara Rock & Roll,Obsesión Fatal,0.526,0.955,2,-3.754,1,0.0731,5.33e-05,8.08e-05,0.332,0.417,109.992,133507,4,audio_features,7GxwulXeLdpI9YonmolJmR,spotify:track:7GxwulXeLdpI9YonmolJmR,https://api.spotify.com/v1/tracks/7GxwulXeLdpI9YonmolJmR,https://api.spotify.com/v1/audio-analysis/7GxwulXeLdpI9YonmolJmR,{'spotify': 'https://open.spotify.com/track/5NWWzmogzsKzCqtCSKO0cL'}
Salvajes,Obsesión Fatal,0.534,0.908,6,-3.836,1,0.0468,0.000174,2e-05,0.324,0.586,100.045,169533,4,audio_features,35kjt2l2ixjXQKM1vwdpLi,spotify:track:35kjt2l2ixjXQKM1vwdpLi,https://api.spotify.com/v1/tracks/35kjt2l2ixjXQKM1vwdpLi,https://api.spotify.com/v1/audio-analysis/35kjt2l2ixjXQKM1vwdpLi,{'spotify': 'https://open.spotify.com/track/5NWWzmogzsKzCqtCSKO0cL'}
Seremos el kaos,Simulacro,0.396,0.949,7,-4.911,1,0.0668,0.000518,0.000839,0.107,0.514,93.578,145821,4,audio_features,3pYw9JimWYmOqfAq1UzSUp,spotify:track:3pYw9JimWYmOqfAq1UzSUp,https://api.spotify.com/v1/tracks/3pYw9JimWYmOqfAq1UzSUp,https://api.spotify.com/v1/audio-analysis/3pYw9JimWYmOqfAq1UzSUp,{'spotify': 'https://open.spotify.com/track/5NWWzmogzsKzCqtCSKO0cL'}
Sin retroceder,Simulacro,0.239,0.952,7,-4.307,1,0.0862,2.62e-05,0.000306,0.309,0.555,103.175,137694,4,audio_features,2NSoiMZeLWvA837gM5px9j,spotify:track:2NSoiMZeLWvA837gM5px9j,https://api.spotify.com/v1/tracks/2NSoiMZeLWvA837gM5px9j,https://api.spotify.com/v1/audio-analysis/2NSoiMZeLWvA837gM5px9j,{'spotify': 'https://open.spotify.com/track/5NWWzmogzsKzCqtCSKO0cL'}
Pisadas (Confinament),Rotura,0.315,0.945,1,-3.405,0,0.0615,2.81e-05,0.00172,0.0901,0.3,106.693,154297,4,audio_features,3OW7T1TFDnzPEmwNJVKEoU,spotify:track:3OW7T1TFDnzPEmwNJVKEoU,https://api.spotify.com/v1/tracks/3OW7T1TFDnzPEmwNJVKEoU,https://api.spotify.com/v1/audio-analysis/3OW7T1TFDnzPEmwNJVKEoU,{'spotify': 'https://open.spotify.com/track/5NWWzmogzsKzCqtCSKO0cL'}
Insurrección,Rotura,0.286,0.938,4,-3.176,0,0.0884,0.00798,0.00124,0.312,0.429,103.6,116100,4,audio_features,3WfH4t8IotYWjdXnDwqpmM,spotify:track:3WfH4t8IotYWjdXnDwqpmM,https://api.spotify.com/v1/tracks/3WfH4t8IotYWjdXnDwqpmM,https://api.spotify.com/v1/audio-analysis/3WfH4t8IotYWjdXnDwqpmM,{'spotify': 'https://open.spotify.com/track/5NWWzmogzsKzCqtCSKO0cL'}
Sonido Rebelde,La Familia Iskariote,0.666,0.94,8,-5.297,1,0.208,0.654,0.000364,0.363,0.626,105.024,166307,4,audio_features,0OZ2hE2NOvD9sByJW2wfeT,spotify:track:0OZ2hE2NOvD9sByJW2wfeT,https://api.spotify.com/v1/tracks/0OZ2hE2NOvD9sByJW2wfeT,https://api.spotify.com/v1/audio-analysis/0OZ2hE2NOvD9sByJW2wfeT,{'spotify': 'https://open.spotify.com/track/5NWWzmogzsKzCqtCSKO0cL'}
Manifestación,La Familia Iskariote,0.683,0.793,0,-6.379,1,0.0347,0.11,0.00552,0.143,0.722,100.022,215583,4,audio_features,1CvlYMVNmWYqwCt6PLa2ZS,spotify:track:1CvlYMVNmWYqwCt6PLa2ZS,https://api.spotify.com/v1/tracks/1CvlYMVNmWYqwCt6PLa2ZS,https://api.spotify.com/v1/audio-analysis/1CvlYMVNmWYqwCt6PLa2ZS,{'spotify': 'https://open.spotify.com/track/5NWWzmogzsKzCqtCSKO0cL'}
Pasando,Karajo,0.344,0.935,7,-9.474,1,0.113,2.11e-05,0.0477,0.195,0.446,110.978,188735,4,audio_features,6fbjd6hcc1yWa4Pyrmu3WJ,spotify:track:6fbjd6hcc1yWa4Pyrmu3WJ,https://api.spotify.com/v1/tracks/6fbjd6hcc1yWa4Pyrmu3WJ,https://api.spotify.com/v1/audio-analysis/6fbjd6hcc1yWa4Pyrmu3WJ,{'spotify': 'https://open.spotify.com/track/5NWWzmogzsKzCqtCSKO0cL'}
Aun Seguimos Akí,Karajo,0.402,0.961,7,-7.125,1,0.121,9.54e-06,1.9e-05,0.0749,0.562,113.844,149368,4,audio_features,5t5zQ6UgwB4J1QCFOBgw7p,spotify:track:5t5zQ6UgwB4J1QCFOBgw7p,https://api.spotify.com/v1/tracks/5t5zQ6UgwB4J1QCFOBgw7p,https://api.spotify.com/v1/audio-analysis/5t5zQ6UgwB4J1QCFOBgw7p,{'spotify': 'https://open.spotify.com/track/5NWWzmogzsKzCqtCSKO0cL'}
Verano '86,Putakaska,0.395,0.991,0,-3.925,1,0.133,0.0408,0.0,0.0669,0.358,123.43,232107,4,audio_features,6wBZjTB8ai659Cjm6chpS7,spotify:track:6wBZjTB8ai659Cjm6chpS7,https://api.spotify.com/v1/tracks/6wBZjTB8ai659Cjm6chpS7,https://api.spotify.com/v1/audio-analysis/6wBZjTB8ai659Cjm6chpS7,{'spotify': 'https://open.spotify.com/track/5NWWzmogzsKzCqtCSKO0cL'}
Dónde Voy,37 Hostias,0.579,0.914,7,-5.192,1,0.0421,0.0129,1.06e-05,0.322,0.937,128.569,180293,4,audio_features,53tLv1MuPuMm1cwO786z7A,spotify:track:53tLv1MuPuMm1cwO786z7A,https://api.spotify.com/v1/tracks/53tLv1MuPuMm1cwO786z7A,https://api.spotify.com/v1/audio-analysis/53tLv1MuPuMm1cwO786z7A,{'spotify': 'https://open.spotify.com/track/5NWWzmogzsKzCqtCSKO0cL'}
Navajas in the Night,Area de Combate,0.509,0.977,0,-6.452,1,0.056,0.0996,0.0,0.108,0.54,102.143,117200,4,audio_features,41YrnEPFs5btG7kMdIuA5U,spotify:track:41YrnEPFs5btG7kMdIuA5U,https://api.spotify.com/v1/tracks/41YrnEPFs5btG7kMdIuA5U,https://api.spotify.com/v1/audio-analysis/41YrnEPFs5btG7kMdIuA5U,{'spotify': 'https://open.spotify.com/track/5NWWzmogzsKzCqtCSKO0cL'}
Tu Eres Mi Perdicion,Against You,0.421,0.851,2,-4.788,1,0.0566,0.00211,0.0,0.0594,0.639,120.012,207177,4,audio_features,6iHOejpU4l07VfYblgKJPZ,spotify:track:6iHOejpU4l07VfYblgKJPZ,https://api.spotify.com/v1/tracks/6iHOejpU4l07VfYblgKJPZ,https://api.spotify.com/v1/audio-analysis/6iHOejpU4l07VfYblgKJPZ,{'spotify': 'https://open.spotify.com/track/5NWWzmogzsKzCqtCSKO0cL'}
Cuatro Gatos,Andanada 7,0.516,0.932,7,-9.34,1,0.0657,0.00172,0.000215,0.116,0.363,115.17,187678,4,audio_features,01SImr7Y9wE63tnf0kGcTb,spotify:track:01SImr7Y9wE63tnf0kGcTb,https://api.spotify.com/v1/tracks/01SImr7Y9wE63tnf0kGcTb,https://api.spotify.com/v1/audio-analysis/01SImr7Y9wE63tnf0kGcTb,{'spotify': 'https://open.spotify.com/track/5NWWzmogzsKzCqtCSKO0cL'}
Perro Kallejero,Efectos Sekundarios ‎,0.425,0.783,4,-10.505,0,0.0405,0.0769,0.0,0.128,0.469,97.656,97227,4,audio_features,6LCDE4N4gFjqEPRVgyV6oD,spotify:track:6LCDE4N4gFjqEPRVgyV6oD,https://api.spotify.com/v1/tracks/6LCDE4N4gFjqEPRVgyV6oD,https://api.spotify.com/v1/audio-analysis/6LCDE4N4gFjqEPRVgyV6oD,{'spotify': 'https://open.spotify.com/track/5NWWzmogzsKzCqtCSKO0cL'}
A Lo Hecho Techo,AlaDeMoska,0.686,0.898,0,-5.694,1,0.0537,0.0591,7.5e-05,0.252,0.962,90.007,249676,4,audio_features,2Fbw6BA342UQDGsC25yc1U,spotify:track:2Fbw6BA342UQDGsC25yc1U,https://api.spotify.com/v1/tracks/2Fbw6BA342UQDGsC25yc1U,https://api.spotify.com/v1/audio-analysis/2Fbw6BA342UQDGsC25yc1U,{'spotify': 'https://open.spotify.com/track/5NWWzmogzsKzCqtCSKO0cL'}
Derrota Tras Derrota,Faber Pugna,0.444,0.903,9,-4.414,1,0.103,0.00497,5.29e-06,0.164,0.531,165.074,134987,4,audio_features,3mMDaIsgMX2dq5n948AckQ,spotify:track:3mMDaIsgMX2dq5n948AckQ,https://api.spotify.com/v1/tracks/3mMDaIsgMX2dq5n948AckQ,https://api.spotify.com/v1/audio-analysis/3mMDaIsgMX2dq5n948AckQ,{'spotify': 'https://open.spotify.com/track/5NWWzmogzsKzCqtCSKO0cL'}
Vomitas sangre,Larsen,0.545,0.709,1,-12.55,1,0.42,0.002,0.0,0.0865,0.758,92.812,170467,4,audio_features,0kzz1yvjxBnMAIa8WlN2ru,spotify:track:0kzz1yvjxBnMAIa8WlN2ru,https://api.spotify.com/v1/tracks/0kzz1yvjxBnMAIa8WlN2ru,https://api.spotify.com/v1/audio-analysis/0kzz1yvjxBnMAIa8WlN2ru,{'spotify': 'https://open.spotify.com/track/5NWWzmogzsKzCqtCSKO0cL'}
El Tablón,Nan Roig,0.379,0.993,0,-2.959,1,0.187,0.0225,0.0,0.272,0.775,89.359,64667,4,audio_features,6Wv3md2SwxRaMCsAS9Xpqj,spotify:track:6Wv3md2SwxRaMCsAS9Xpqj,https://api.spotify.com/v1/tracks/6Wv3md2SwxRaMCsAS9Xpqj,https://api.spotify.com/v1/audio-analysis/6Wv3md2SwxRaMCsAS9Xpqj,{'spotify': 'https://open.spotify.com/track/5NWWzmogzsKzCqtCSKO0cL'}
Desalojos Son Disturbios,KOP,0.407,0.975,5,-4.933,0,0.115,0.000587,1.28e-06,0.339,0.251,123.343,236518,4,audio_features,0Lnj2Wpt0tYIVTlXOtFyFX,spotify:track:0Lnj2Wpt0tYIVTlXOtFyFX,https://api.spotify.com/v1/tracks/0Lnj2Wpt0tYIVTlXOtFyFX,https://api.spotify.com/v1/audio-analysis/0Lnj2Wpt0tYIVTlXOtFyFX,{'spotify': 'https://open.spotify.com/track/5NWWzmogzsKzCqtCSKO0cL'}
Beberás Cerveza,Extracto de Lúpulo,0.49,0.972,11,-3.218,1,0.229,0.00285,4.54e-05,0.313,0.769,175.857,202227,4,audio_features,5EEIJyKe627LwF6C5oW8iN,spotify:track:5EEIJyKe627LwF6C5oW8iN,https://api.spotify.com/v1/tracks/5EEIJyKe627LwF6C5oW8iN,https://api.spotify.com/v1/audio-analysis/5EEIJyKe627LwF6C5oW8iN,{'spotify': 'https://open.spotify.com/track/5NWWzmogzsKzCqtCSKO0cL'}
Nunca,Sublevados,0.626,0.749,0,-7.237,1,0.0413,0.345,0.0,0.131,0.811,170.099,199267,4,audio_features,1jL4MAofTAavUhdVI9Exnk,spotify:track:1jL4MAofTAavUhdVI9Exnk,https://api.spotify.com/v1/tracks/1jL4MAofTAavUhdVI9Exnk,https://api.spotify.com/v1/audio-analysis/1jL4MAofTAavUhdVI9Exnk,{'spotify': 'https://open.spotify.com/track/5NWWzmogzsKzCqtCSKO0cL'}
Okupa y Resiste,Transfer,0.488,0.978,0,-4.055,1,0.0512,0.00815,0.0,0.103,0.586,104.499,229969,4,audio_features,4rL1yZgDOx8SZ0KKShzdKB,spotify:track:4rL1yZgDOx8SZ0KKShzdKB,https://api.spotify.com/v1/tracks/4rL1yZgDOx8SZ0KKShzdKB,https://api.spotify.com/v1/audio-analysis/4rL1yZgDOx8SZ0KKShzdKB,{'spotify': 'https://open.spotify.com/track/5NWWzmogzsKzCqtCSKO0cL'}
Pribar Con Colegas,The Birra’s Terror,0.537,0.961,5,-4.32,0,0.0854,0.00343,1.48e-05,0.492,0.811,115.188,149733,4,audio_features,2l5CPnXnhpHT8EsbDmhr5u,spotify:track:2l5CPnXnhpHT8EsbDmhr5u,https://api.spotify.com/v1/tracks/2l5CPnXnhpHT8EsbDmhr5u,https://api.spotify.com/v1/audio-analysis/2l5CPnXnhpHT8EsbDmhr5u,{'spotify': 'https://open.spotify.com/track/5NWWzmogzsKzCqtCSKO0cL'}
Democracia,Akrata,0.515,0.961,7,-3.296,1,0.04,0.001,3.94e-06,0.084,0.727,144.842,173428,4,audio_features,1ACwfShBup5dyq0sjyTnkK,spotify:track:1ACwfShBup5dyq0sjyTnkK,https://api.spotify.com/v1/tracks/1ACwfShBup5dyq0sjyTnkK,https://api.spotify.com/v1/audio-analysis/1ACwfShBup5dyq0sjyTnkK,{'spotify': 'https://open.spotify.com/track/5NWWzmogzsKzCqtCSKO0cL'}
En Kualkier Lao,The Nadies,0.538,0.928,0,-3.741,1,0.0588,0.0129,0.0,0.182,0.821,122.326,208000,4,audio_features,2yc1tTkJYJccj7KYJCQZAz,spotify:track:2yc1tTkJYJccj7KYJCQZAz,https://api.spotify.com/v1/tracks/2yc1tTkJYJccj7KYJCQZAz,https://api.spotify.com/v1/audio-analysis/2yc1tTkJYJccj7KYJCQZAz,{'spotify': 'https://open.spotify.com/track/5NWWzmogzsKzCqtCSKO0cL'}
¡Vamos a Ladrar!,Entretiempo,0.39,0.951,2,-2.742,1,0.083,0.00256,0.0,0.334,0.715,74.78,185773,4,audio_features,6OgbJjkFfFA07eLmzsOiBR,spotify:track:6OgbJjkFfFA07eLmzsOiBR,https://api.spotify.com/v1/tracks/6OgbJjkFfFA07eLmzsOiBR,https://api.spotify.com/v1/audio-analysis/6OgbJjkFfFA07eLmzsOiBR,{'spotify': 'https://open.spotify.com/track/5NWWzmogzsKzCqtCSKO0cL'}
Farlopa para Estopa,Halcon Eye,0.351,0.986,0,-2.898,1,0.0845,0.00443,1.96e-06,0.0609,0.485,139.399,105404,1,audio_features,3iUW32oL97bBcumD6vYgTc,spotify:track:3iUW32oL97bBcumD6vYgTc,https://api.spotify.com/v1/tracks/3iUW32oL97bBcumD6vYgTc,https://api.spotify.com/v1/audio-analysis/3iUW32oL97bBcumD6vYgTc,{'spotify': 'https://open.spotify.com/track/5NWWzmogzsKzCqtCSKO0cL'}
Estamos Ciegos,Displasia,0.411,0.982,7,-2.994,1,0.0868,0.002,0.00407,0.16,0.715,155.106,164893,4,audio_features,1j8zKxCS8R31CtPwFBAoDz,spotify:track:1j8zKxCS8R31CtPwFBAoDz,https://api.spotify.com/v1/tracks/1j8zKxCS8R31CtPwFBAoDz,https://api.spotify.com/v1/audio-analysis/1j8zKxCS8R31CtPwFBAoDz,{'spotify': 'https://open.spotify.com/track/5NWWzmogzsKzCqtCSKO0cL'}
Más Barato,Limando,0.585,0.8,7,-4.157,1,0.0578,0.625,0.0,0.859,0.481,78.999,118983,4,audio_features,1j8yBLqsE55RUYbDcf7NJC,spotify:track:1j8yBLqsE55RUYbDcf7NJC,https://api.spotify.com/v1/tracks/1j8yBLqsE55RUYbDcf7NJC,https://api.spotify.com/v1/audio-analysis/1j8yBLqsE55RUYbDcf7NJC,{'spotify': 'https://open.spotify.com/track/5NWWzmogzsKzCqtCSKO0cL'}
Es un Crimen - Eskorbuto,Cizaña,0.595,0.986,0,-5.464,1,0.0775,0.00893,0.0,0.0831,0.404,115.46,165695,4,audio_features,0BFpJ4UTaENgUAi0rukizY,spotify:track:0BFpJ4UTaENgUAi0rukizY,https://api.spotify.com/v1/tracks/0BFpJ4UTaENgUAi0rukizY,https://api.spotify.com/v1/audio-analysis/0BFpJ4UTaENgUAi0rukizY,{'spotify': 'https://open.spotify.com/track/5NWWzmogzsKzCqtCSKO0cL'}
El Potro Se Desboca,VonDänikens,0.381,0.962,6,-4.122,1,0.0465,1.01e-05,0.285,0.284,0.548,93.587,168202,4,audio_features,1GGLxNB8nRRzkjkzpOYU0X,spotify:track:1GGLxNB8nRRzkjkzpOYU0X,https://api.spotify.com/v1/tracks/1GGLxNB8nRRzkjkzpOYU0X,https://api.spotify.com/v1/audio-analysis/1GGLxNB8nRRzkjkzpOYU0X,{'spotify': 'https://open.spotify.com/track/5NWWzmogzsKzCqtCSKO0cL'}
Seguir en Pie,13Krauss,0.284,0.976,10,-4.696,1,0.0854,0.00058,0.0,0.353,0.636,164.099,185504,4,audio_features,7pPqxqgjtr7aH4SXlZXsEy,spotify:track:7pPqxqgjtr7aH4SXlZXsEy,https://api.spotify.com/v1/tracks/7pPqxqgjtr7aH4SXlZXsEy,https://api.spotify.com/v1/audio-analysis/7pPqxqgjtr7aH4SXlZXsEy,{'spotify': 'https://open.spotify.com/track/5NWWzmogzsKzCqtCSKO0cL'}
Mi Kolega Mountain Bike,Sikarios,0.49,0.876,0,-6.082,1,0.121,0.181,1.05e-06,0.0886,0.6,113.865,169560,3,audio_features,4KWDqoLJ0eroIWgd43U3U1,spotify:track:4KWDqoLJ0eroIWgd43U3U1,https://api.spotify.com/v1/tracks/4KWDqoLJ0eroIWgd43U3U1,https://api.spotify.com/v1/audio-analysis/4KWDqoLJ0eroIWgd43U3U1,{'spotify': 'https://open.spotify.com/track/5NWWzmogzsKzCqtCSKO0cL'}
Mariposas Kamikazes,Carroña,0.493,0.967,2,-4.339,0,0.144,0.000125,2.37e-06,0.111,0.434,141.001,187120,4,audio_features,6VLbcdgAlyrD1rODzjexe0,spotify:track:6VLbcdgAlyrD1rODzjexe0,https://api.spotify.com/v1/tracks/6VLbcdgAlyrD1rODzjexe0,https://api.spotify.com/v1/audio-analysis/6VLbcdgAlyrD1rODzjexe0,{'spotify': 'https://open.spotify.com/track/5NWWzmogzsKzCqtCSKO0cL'}
El Pirri,Kostrosos,0.507,0.976,10,-4.482,0,0.0745,0.00274,0.0,0.223,0.522,102.496,120712,4,audio_features,5EmVxDopHmn58kDdOgeHup,spotify:track:5EmVxDopHmn58kDdOgeHup,https://api.spotify.com/v1/tracks/5EmVxDopHmn58kDdOgeHup,https://api.spotify.com/v1/audio-analysis/5EmVxDopHmn58kDdOgeHup,{'spotify': 'https://open.spotify.com/track/5NWWzmogzsKzCqtCSKO0cL'}
Tenéis Speed?,Rat-Zinger,0.447,0.964,1,-3.031,1,0.0776,1.78e-05,0.000653,0.0658,0.478,137.025,168053,4,audio_features,1w0GUdlvwdpSoyqVb2Ofv7,spotify:track:1w0GUdlvwdpSoyqVb2Ofv7,https://api.spotify.com/v1/tracks/1w0GUdlvwdpSoyqVb2Ofv7,https://api.spotify.com/v1/audio-analysis/1w0GUdlvwdpSoyqVb2Ofv7,{'spotify': 'https://open.spotify.com/track/5NWWzmogzsKzCqtCSKO0cL'}
Dónde,K.O. Etíliko,0.555,0.903,2,-6.118,1,0.0398,0.00316,2.06e-05,0.358,0.607,110.991,164093,4,audio_features,0ztlhq7hP0TLpFjHuVTBol,spotify:track:0ztlhq7hP0TLpFjHuVTBol,https://api.spotify.com/v1/tracks/0ztlhq7hP0TLpFjHuVTBol,https://api.spotify.com/v1/audio-analysis/0ztlhq7hP0TLpFjHuVTBol,{'spotify': 'https://open.spotify.com/track/5NWWzmogzsKzCqtCSKO0cL'}
Tu Calor,Subversión X,0.489,0.793,0,-14.883,1,0.0424,0.000742,0.00248,0.166,0.662,97.967,208541,4,audio_features,0ZIH51wP3u1amW6IytOGW5,spotify:track:0ZIH51wP3u1amW6IytOGW5,https://api.spotify.com/v1/tracks/0ZIH51wP3u1amW6IytOGW5,https://api.spotify.com/v1/audio-analysis/0ZIH51wP3u1amW6IytOGW5,{'spotify': 'https://open.spotify.com/track/5NWWzmogzsKzCqtCSKO0cL'}
No Aburras,La Polla Records,0.376,0.872,7,-8.275,1,0.0474,0.000104,0.0,0.0803,0.686,177.917,149400,4,audio_features,0YhoYhfYdBMD66ARMVQqvH,spotify:track:0YhoYhfYdBMD66ARMVQqvH,https://api.spotify.com/v1/tracks/0YhoYhfYdBMD66ARMVQqvH,https://api.spotify.com/v1/audio-analysis/0YhoYhfYdBMD66ARMVQqvH,{'spotify': 'https://open.spotify.com/track/5NWWzmogzsKzCqtCSKO0cL'}
